#Time (uint32)[1],RtAcc (float32)[1],MotorPosition (int32)[1],EncoderPosition (uint32)[1]
5500000,11896.845054,0,0
60000,9354.165077,0,0
65000,7063.127994,0,0
70000,5094.902515,1,0
75000,3463.644742,2,0
80000,2135.437250,2,65535
85000,1044.964790,3,65534
90000,115.801203,4,65534
95000,-720.234680,5,65533
100000,-1508.587932,6,65533
105000,-2264.888525,7,65532
110000,-2975.992679,8,65532
115000,-3608.022451,9,65531
120000,-4118.822097,10,65531
125000,-4471.508026,11,65530
130000,-4645.832061,11,65530
135000,-4644.863605,12,65530
140000,-4495.778083,12,65530
145000,-4244.988918,12,65530
150000,-3949.149894,12,65530
155000,-3664.343357,12,65530
160000,-3436.047792,12,65531
165000,-3292.028188,12,65531
170000,-3239.496231,12,65531
175000,-3266.783952,12,65531
180000,-3348.744630,11,65531
185000,-3454.346418,11,65532
190000,-3554.574966,10,65533
195000,-3628.906965,9,65534
200000,-3669.107913,9,65534
205000,-3679.852008,8,65534
210000,-3676.414966,7,65535
215000,-3680.298566,6,0
220000,-3713.976383,5,1
225000,-3795.970678,3,2
230000,-3937.215042,2,3
235000,-4139.234066,0,4
240000,-4394.200325,-1,5
245000,-4686.551570,-3,6
250000,-4995.611190,-4,7
255000,-5298.607826,-6,8
260000,-5573.573589,-8,10
265000,-5801.799774,-11,11
270000,-5969.668388,-13,12
275000,-6069.846153,-15,14
280000,-6101.837158,-18,15
285000,-6071.893215,-21,16
290000,-5992.224216,-24,18
295000,-5879.454612,-27,20
300000,-5752.332210,-30,22
305000,-5628.846645,-33,24
310000,-5523.106098,-37,26
315000,-5442.528724,-41,27
320000,-5385.978221,-44,29
325000,-5343.434810,-48,31
330000,-5297.545433,-52,34
335000,-5227.011203,-57,36
340000,-5111.304283,-61,38
345000,-4935.789108,-65,40
350000,-4696.078777,-70,41
355000,-4400.476932,-75,43
360000,-4069.671154,-79,46
365000,-3733.432531,-84,49
370000,-3424.784421,-89,50
375000,-3172.783613,-95,52
380000,-2995.521354,-100,54
385000,-2895.067024,-105,56
390000,-2855.759143,-110,58
395000,-2846.546173,-116,60
400000,-2827.166366,-121,63
405000,-2756.984472,-127,64
410000,-2604.561328,-133,66
415000,-2355.728149,-138,67
420000,-2018.115758,-144,69
425000,-1620.824241,-150,71
430000,-1209.002017,-156,72
435000,-834.311485,-162,74
440000,-543.305873,-168,75
445000,-366.362452,-174,76
450000,-309.815692,-180,78
455000,-353.315520,-186,79
460000,-453.283023,-192,80
465000,-551.932001,-198,81
470000,-589.980411,-204,82
475000,-520.229196,-210,82
480000,-318.870854,-216,83
485000,8.185315,-222,83
490000,425.606632,-228,84
495000,875.681114,-234,84
500000,1290.671234,-240,84
505000,1607.756614,-246,85
510000,1783.184909,-252,84
515000,1802.356910,-258,84
520000,1683.472871,-264,84
525000,1473.811864,-269,83
530000,1239.427924,-275,83
535000,1050.573229,-281,82
540000,966.165733,-287,81
545000,1020.858883,-292,80
550000,1217.666149,-298,79
555000,1527.803897,-304,78
560000,1897.728919,-309,77
565000,2261.669635,-315,75
570000,2556.681871,-320,74
575000,2736.695051,-326,72
580000,2782.295942,-331,70
585000,2704.044580,-337,68
590000,2538.677930,-342,66
595000,2339.260816,-347,64
600000,2161.763429,-352,62
605000,2051.362514,-357,60
610000,2031.765460,-362,57
615000,2100.069284,-367,54
620000,2228.280305,-372,52
625000,2370.974302,-377,49
630000,2477.094411,-382,46
635000,2502.896070,-386,44
640000,2422.826528,-391,41
645000,2235.682249,-396,37
650000,1964.599990,-400,34
655000,1650.994682,-405,31
660000,1344.048380,-409,28
665000,1088.457822,-414,24
670000,913.538646,-418,21
675000,826.415157,-422,18
680000,810.966491,-427,14
685000,832.741832,-431,11
690000,848.545265,-435,8
695000,818.223857,-440,4
700000,715.640783,-444,1
705000,536.030435,-448,65533
710000,297.843627,-452,65530
715000,38.579214,-457,65526
720000,-194.388980,-461,65523
725000,-355.720663,-465,65520
730000,-413.784837,-469,65516
735000,-359.174990,-473,65513
740000,-207.900381,-478,65509
745000,1.608694,-482,65506
750000,217.027378,-486,65503
755000,384.182357,-490,65500
760000,459.737491,-495,65497
765000,421.471691,-499,65494
770000,273.674535,-503,65491
775000,46.352572,-507,65488
780000,-211.580848,-511,65485
785000,-443.530321,-516,65483
790000,-598.217391,-520,65480
795000,-641.414117,-524,65478
800000,-563.694858,-528,65475
805000,-382.454509,-532,65473
810000,-137.797927,-537,65470
815000,116.662371,-541,65468
820000,325.909852,-545,65466
825000,445.719861,-549,65464
830000,452.191114,-554,65462
835000,346.549558,-558,65461
840000,154.306697,-562,65459
845000,-80.824251,-566,65458
850000,-306.681609,-571,65456
855000,-473.746204,-575,65455
860000,-545.057535,-579,65454
865000,-502.850151,-583,65453
870000,-350.678205,-588,65451
875000,-110.900139,-592,65451
880000,181.543970,-596,65450
885000,487.361097,-600,65449
890000,771.128845,-605,65449
895000,1007.692217,-609,65449
900000,1185.518150,-613,65448
905000,1306.637763,-617,65448
910000,1383.657093,-622,65448
915000,1434.964561,-626,65449
920000,1479.564666,-630,65449
925000,1532.864570,-634,65449
930000,1604.302644,-638,65449
935000,1697.092914,-642,65450
940000,1809.720420,-646,65450
945000,1938.375377,-650,65450
950000,2079.334735,-654,65451
955000,2230.456113,-658,65452
960000,2391.332387,-661,65453
965000,2562.179327,-665,65453
970000,2741.995334,-669,65455
975000,2926.812934,-672,65456
980000,3108.857393,-676,65457
985000,3277.164220,-679,65458
990000,3419.726610,-682,65459
995000,3526.716232,-686,65461
1000000,3593.900680,-689,65462
1005000,3625.202178,-692,65463
1010000,3633.459568,-695,65465
1015000,3638.888120,-698,65466
1020000,3665.324926,-700,65467
1025000,3734.987735,-703,65469
1030000,3862.953948,-706,65471
