#Time (uint32)[1],RtAcc (float32)[1],MotorPosition (int32)[1],EncoderPosition (uint32)[1]
6500000,29908.674240,0,65535
70000,26377.215385,0,65535
75000,22752.151489,1,65535
80000,19093.852996,3,65535
85000,15460.202693,5,65533
90000,11905.604553,8,65531
95000,8480.134010,11,65529
100000,5228.765010,14,65527
105000,2190.757513,18,65525
110000,-600.841760,21,65523
115000,-3119.541883,25,65522
120000,-5345.609664,28,65519
125000,-7266.124725,32,65516
130000,-8874.888420,35,65514
135000,-10172.207355,38,65513
140000,-11164.542436,41,65513
145000,-11864.044666,43,65512
150000,-12287.997007,46,65510
155000,-12458.165884,48,65509
160000,-12400.093078,49,65507
165000,-12142.333984,50,65508
170000,-11715.666055,51,65509
175000,-11152.291297,52,65510
180000,-10485.043525,52,65509
185000,-9746.615409,53,65509
190000,-8968.832015,53,65509
195000,-8181.981086,53,65510
200000,-7414.202213,52,65512
205000,-6690.967082,52,65513
210000,-6034.630775,51,65514
215000,-5464.093208,49,65515
220000,-4994.545459,48,65516
225000,-4637.316226,47,65518
230000,-4399.817466,45,65519
235000,-4285.582065,44,65521
240000,-4294.387340,42,65523
245000,-4422.463417,40,65525
250000,-4662.767887,38,65527
255000,-5005.328178,36,65530
260000,-5437.630176,34,65532
265000,-5945.049762,31,65534
270000,-6511.306762,29,0
275000,-7118.938446,26,2
280000,-7749.774932,23,5
285000,-8385.401725,20,8
290000,-9007.615089,17,11
295000,-9598.833084,14,14
300000,-10142.484903,10,16
305000,-10623.352527,6,19
310000,-11027.854681,2,22
315000,-11344.292163,-3,26
320000,-11563.029289,-7,30
325000,-11676.620244,-12,33
330000,-11679.877042,-18,37
335000,-11569.892168,-24,40
340000,-11345.999240,-30,44
345000,-11009.695529,-36,48
350000,-10564.508438,-42,53
355000,-10015.848875,-49,57
360000,-9370.809555,-56,61
365000,-8637.949943,-63,65
370000,-7827.070713,-71,69
375000,-6948.959350,-79,74
380000,-6015.148162,-87,79
385000,-5037.664890,-95,83
390000,-4028.790473,-103,88
395000,-3000.828504,-111,92
400000,-1965.894603,-120,96
405000,-935.716629,-128,100
410000,78.535790,-137,105
415000,1066.402316,-145,109
420000,2018.257379,-154,113
425000,2925.410747,-162,116
430000,3780.181169,-171,120
435000,4575.952053,-179,123
440000,5307.194709,-188,126
445000,5969.481468,-196,129
450000,6559.470653,-204,132
455000,7074.883460,-211,135
460000,7514.457225,-219,137
